Step,Time,Datetime,a,e,i,RAAN,aop,ta,Eclipse_status_Earth,Eclipse_status_Moon
0,793587669.1852885,2025-02-23 13:00:00+00:00,42168.073502146806,0.0005997066697036362,0.1337021281049963,84.26443434889468,241.8626343641878,321.160025389033,0,0
1,793588169.1852885,2025-02-23 13:08:20+00:00,42168.0828878302,0.0006008298912176318,0.13375134500342967,84.27385062302976,241.95676772446092,323.14717485106416,0,0
2,793588669.1852885,2025-02-23 13:16:40+00:00,42168.08821337225,0.0006018336600151785,0.13379951517059077,84.2839771051685,242.05858576759286,325.12598455605934,0,0
3,793589169.1852885,2025-02-23 13:25:00+00:00,42168.089468047016,0.0006027152163525496,0.13384650733859638,84.29477566497738,242.1677455450793,327.0968330074295,0,0
4,793589669.1852885,2025-02-23 13:33:20+00:00,42168.086665930394,0.0006034723217865735,0.13389219812836067,84.30620429820543,242.28388593195032,329.060120688057,0,0
5,793590169.1852885,2025-02-23 13:41:40+00:00,42168.079845373715,0.0006041032715527627,0.13393647275092774,84.31821745008128,242.4066311167155,331.0162662520515,0,0
6,793590669.1852885,2025-02-23 13:49:59.999999+00:00,42168.069068304605,0.0006046069010930976,0.13397922570482174,84.33076636013263,242.53559407816314,332.9657027082947,0,0
7,793591169.1852885,2025-02-23 13:58:19.999999+00:00,42168.05441936835,0.0006049825868598758,0.13402036130667186,84.3437994248199,242.67038001143115,334.9088736369469,0,0
8,793591669.1852885,2025-02-23 14:06:39.999999+00:00,42168.03600492438,0.0006052302416095841,0.13405979421084332,84.35726257431301,242.81058966903979,336.84622947688007,0,0
9,793592169.1852885,2025-02-23 14:14:59.999999+00:00,42168.0139519128,0.0006053503044523162,0.13409744980160773,84.3710996597281,242.95582258733046,338.77822391726164,0,0
10,793592669.1852885,2025-02-23 14:23:19.999999+00:00,42167.98840660797,0.0006053437260050019,0.13413326450193552,84.38525284718122,243.1056801716775,340.70531042354787,0,0
11,793593169.1852885,2025-02-23 14:31:39.999999+00:00,42167.959533274996,0.0006052119490147093,0.13416718601839211,84.39966301509867,243.2597686187606,342.6279389231469,0,0
12,793593669.1852885,2025-02-23 14:39:59.999999+00:00,42167.9275127468,0.0006049568848887172,0.1341991734709158,84.41427015135156,243.41770165623103,344.5465526738363,0,0
13,793594169.1852885,2025-02-23 14:48:19.999999+00:00,42167.89254093813,0.0006045808865749695,0.1342291974540428,84.42901374694425,243.57910308464648,346.46158533331777,0,0
14,793594669.1852885,2025-02-23 14:56:39.999999+00:00,42167.85482731317,0.0006040867182650561,0.13425724000812345,84.4438331831815,243.74360910872653,348.3734582459211,0,0
15,793595169.1852885,2025-02-23 15:04:59.999998+00:00,42167.81459332269,0.0006034775224061942,0.13428329453332846,84.45866810946048,243.91087044805107,350.282577959177,0,0
16,793595669.1852885,2025-02-23 15:13:19.999998+00:00,42167.77207082575,0.0006027567845024688,0.13430736557600587,84.47345880907537,244.08055421964664,352.1893339804168,0,0
17,793596169.1852885,2025-02-23 15:21:39.999998+00:00,42167.72750051058,0.0006019282961966904,0.13432946861233705,84.48814655067923,244.25234558706154,354.09409678114326,0,0
18,793596669.1852885,2025-02-23 15:29:59.999998+00:00,42167.681130327146,0.0006009961170949354,0.1343496297098525,84.50267392331564,244.4259491726496,355.99721605453396,0,0
19,793597169.1852885,2025-02-23 15:38:19.999998+00:00,42167.63321394406,0.0005999645357987354,0.13436788516446047,84.51698515320365,244.60109023130198,357.8990192296442,0,0
20,793597669.1852885,2025-02-23 15:46:39.999998+00:00,42167.58400923985,0.0005988380305741655,0.13438428104774622,84.53102640073331,244.77751558563142,359.79981024384193,0,0
21,793598169.1852885,2025-02-23 15:54:59.999998+00:00,42167.53377683872,0.0005976212300779091,0.13439887274033724,84.54474603639697,244.9549943236951,1.6998685736560584,0,0
22,793598669.1852885,2025-02-23 16:03:19.999998+00:00,42167.48277869778,0.0005963188745116302,0.1344117243995774,84.55809489464336,245.1333182620496,3.599448522263806,0,0
23,793599169.1852885,2025-02-23 16:11:39.999998+00:00,42167.43127675352,0.0005949357775715353,0.13442290839110946,84.57102650489239,245.3123021774754,5.498778761011177,0,0
24,793599669.1852885,2025-02-23 16:19:59.999997+00:00,42167.379531631996,0.0005934767895080698,0.1344325046922286,84.58349729918604,245.49178381232394,7.3980621205647745,0,0
25,793600169.1852885,2025-02-23 16:28:19.999997+00:00,42167.32780142732,0.0005919467615908427,0.13444060026943055,84.59546679617372,245.6716236589594,9.297475626499704,0,0
26,793600669.1852885,2025-02-23 16:36:39.999997+00:00,42167.27634055133,0.0005903505122377619,0.13444728842172773,84.60689776133607,245.85170453001018,11.197170772711631,0,0
27,793601169.1852885,2025-02-23 16:44:59.999997+00:00,42167.22539865599,0.000588692795031373,0.13445266813552445,84.61775634353899,246.03193092180072,13.097274025184857,0,0
28,793601669.1852885,2025-02-23 16:53:19.999997+00:00,42167.17521962951,0.0005869782688233035,0.13445684338569955,84.62801218818002,246.21222817940503,14.9978875474123,0,0
29,793602169.1852885,2025-02-23 17:01:39.999997+00:00,42167.12604066622,0.0005852114700899894,0.13445992247479074,84.63763852733945,246.39254147246223,16.899090137912847,0,0
30,793602669.1852885,2025-02-23 17:09:59.999997+00:00,42167.07809140891,0.0005833967876724633,0.13446201735580288,84.64661224748184,246.5728345916915,18.80093836936159,0,0
31,793603169.1852885,2025-02-23 17:18:19.999997+00:00,42167.031593162515,0.0005815384400151421,0.13446324292485867,84.65491393536766,246.7530885771944,20.703467917584994,0,0
32,793603669.1852885,2025-02-23 17:26:39.999997+00:00,42166.98675817677,0.0005796404549800762,0.1344637163810642,84.66252790293278,246.9333001900141,22.60669506819404,0,0
33,793604169.1852885,2025-02-23 17:34:59.999997+00:00,42166.94378899517,0.0005777066522988689,0.13446355654227948,84.66944219197396,247.11348023959496,24.510618387370208,0,0
34,793604669.1852885,2025-02-23 17:43:19.999996+00:00,42166.902877867746,0.0005757406286948278,0.13446288321423067,84.67564855954488,247.29365178035144,26.415220542695607,0,0
35,793605169.1852885,2025-02-23 17:51:39.999996+00:00,42166.86420622384,0.0005737457456903004,0.13446181652340464,84.68114244501858,247.47384819131221,28.32047025910155,0,0
36,793605669.1852885,2025-02-23 17:59:59.999996+00:00,42166.82794420224,0.0005717251200950456,0.1344604763545966,84.68592291981122,247.6541111537412,30.226324394041423,0,0
37,793606169.1852885,2025-02-23 18:08:19.999996+00:00,42166.794250234954,0.0005696816171529054,0.13445898170875054,84.68999262078985,247.83448854203735,32.132730115563476,0,0
38,793606669.1852885,2025-02-23 18:16:39.999996+00:00,42166.763270681324,0.0005676178463045469,0.13445745015726487,84.69335766840359,248.01503224378615,34.039627166371176,0,0
39,793607169.1852885,2025-02-23 18:24:59.999996+00:00,42166.735139509314,0.0005655361595155695,0.13445599729791224,84.69602757058635,248.1957959256378,35.94695019615022,0,0
40,793607669.1852885,2025-02-23 18:33:19.999996+00:00,42166.70997802092,0.0005634386521002202,0.13445473622326087,84.69801511347953,248.37683276171498,37.85463114441049,0,0
41,793608169.1852885,2025-02-23 18:41:39.999996+00:00,42166.68789461859,0.0005613271659602249,0.13445377705317038,84.69933624001757,248.55819314187846,39.762601655473375,0,0
42,793608669.1852885,2025-02-23 18:49:59.999996+00:00,42166.66898461047,0.0005592032951487317,0.13445322643387025,84.700009917407,248.73992237720788,41.67079550721831,0,0
43,793609169.1852885,2025-02-23 18:58:19.999996+00:00,42166.653330051566,0.0005570683936559594,0.13445318714197768,84.70005799451447,248.92205842019345,43.57915103507811,0,0
44,793609669.1852885,2025-02-23 19:06:39.999995+00:00,42166.64099961918,0.0005549235853049832,0.1344537576661787,84.69950505015916,249.1046296170656,45.48761353286187,0,0
45,793610169.1852885,2025-02-23 19:14:59.999995+00:00,42166.63204852044,0.0005527697756380911,0.13445503183176793,84.69837823328243,249.28765250931164,47.39613761238602,0,0
46,793610669.1852885,2025-02-23 19:23:19.999995+00:00,42166.6265184311,0.0005506076656697671,0.13445709846006138,84.69670709594328,249.47112970216023,49.30468950318534,0,0
47,793611169.1852885,2025-02-23 19:31:39.999995+00:00,42166.62443746386,0.0005484377673680833,0.1344600410574127,84.6945234200616,249.65504781581134,51.21324927560648,0,0
