Step,Time,Datetime,X,Y,Z,Vx,Vy,Vz,Eclipse_status_Earth,Eclipse_status_Moon
0,793587669.1852885,2025-02-23 13:00:00+00:00,12524.756906,-40244.429508,-38.466131,2.936614,0.915142,-0.006605,0,0
1,793588169.1852885,2025-02-23 13:08:20+00:00,13984.404589671874,-39760.182170134714,-41.743030155894374,2.901328992059711,1.0216332477872712,-0.006501140500211154,0,0
2,793588669.1852885,2025-02-23 13:16:40+00:00,15425.442047055958,-39223.022195371355,-44.96582646070952,2.862181310507112,1.1267690270725246,-0.006388611739329967,0,0
3,793589169.1852885,2025-02-23 13:25:00+00:00,16845.950695496325,-38633.66244966421,-48.13022097184478,2.8192228278327813,1.2304091249375289,-0.006267558399575073,0,0
4,793589669.1852885,2025-02-23 13:33:20+00:00,18244.039166736868,-37992.88541883581,-51.23198996867993,2.772510517208512,1.332415306117521,-0.00613813665574785,0,0
5,793590169.1852885,2025-02-23 13:41:40+00:00,19617.845838774465,-37301.54217303038,-54.26699065114587,2.7221063773812575,1.4326514994287223,-0.006000513981629887,0,0
6,793590669.1852885,2025-02-23 13:49:59.999999+00:00,20965.541328432802,-36560.55123865323,-57.23116673742928,2.6680773506788484,1.5309839813532335,-0.005854868940153728,0,0
7,793591169.1852885,2025-02-23 13:58:19.999999+00:00,22285.33094123923,-35770.89737928268,-60.12055395274881,2.6104952342353305,1.6272815565210512,-0.0057013909575552935,0,0
8,793591669.1852885,2025-02-23 14:06:39.999999+00:00,23575.45707524362,-34933.63028717014,-62.93128540125263,2.5494365845540776,1.7214157348331136,-0.0055402800817507284,0,0
9,793592169.1852885,2025-02-23 14:14:59.999999+00:00,24834.201575479718,-34049.86318707089,-65.65959681321762,2.4849826155369845,1.8132609049739097,-0.005371746725214873,0,0
10,793592669.1852885,2025-02-23 14:23:19.999999+00:00,26059.888035836237,-33120.77135427263,-68.30183165987737,2.417219090117979,1.9026945040672318,-0.00519601139267281,0,0
11,793593169.1852885,2025-02-23 14:31:39.999999+00:00,27250.88404517639,-32147.590548810655,-70.8544461283704,2.346236205648809,1.9895971832341333,-0.005013304393949779,0,0
12,793593669.1852885,2025-02-23 14:39:59.999999+00:00,28405.603374621,-31131.615367977654,-73.31401394948122,2.2721284731945324,2.0738529688180436,-0.0048238655423579165,0,0
13,793594169.1852885,2025-02-23 14:48:19.999999+00:00,29522.508102991316,-30074.197519351896,-75.67723107104375,2.194994590905353,2.155349419048285,-0.004627943839030518,0,0
14,793594669.1852885,2025-02-23 14:56:39.999999+00:00,30600.110677493212,-28976.744016680503,-77.94092017009022,2.114937311640369,2.233977775919909,-0.004425797143645659,0,0
15,793595169.1852885,2025-02-23 15:04:59.999998+00:00,31636.975906814452,-27840.71530106367,-80.10203499705695,2.0320633050274357,2.309633112074817,-0.004217691832010823,0,0
16,793595669.1852885,2025-02-23 15:13:19.999998+00:00,32631.722883900853,-26667.62328999142,-82.15766454560112,1.946483014151665,2.3822144724765293,-0.004003902441008491,0,0
17,793596169.1852885,2025-02-23 15:21:39.999998+00:00,33583.02683577547,-25459.029356886385,-84.10503704183996,1.8583105070730646,2.4516250106787116,-0.003784711301429366,0,0
18,793596669.1852885,2025-02-23 15:29:59.999998+00:00,34489.620897867084,-24216.542243903987,-85.94152374709276,1.7676633233814796,2.517772119495608,-0.0035604081592448323,0,0
19,793597169.1852885,2025-02-23 15:38:19.999998+00:00,35350.297810420256,-22941.815910835383,-87.66464256848822,1.6746623160042748,2.5805675558909105,-0.0033312897858933568,0,0
20,793597669.1852885,2025-02-23 15:46:39.999998+00:00,36163.911534668565,-21636.547323047937,-89.27206147209228,1.5794314884891323,2.639927559910228,-0.0030976595781767417,0,0
21,793598169.1852885,2025-02-23 15:54:59.999998+00:00,36929.37878656558,-20302.47418148332,-90.76160169351422,1.482097827990877,2.695772967491232,-0.0028598271483813824,0,0
22,793598669.1852885,2025-02-23 16:03:19.999998+00:00,37645.680485984165,-18941.372597813992,-92.13124074126121,1.382791134197407,2.748029316994714,-0.0026181079052569603,0,0
23,793599169.1852885,2025-02-23 16:11:39.999998+00:00,38311.86311941349,-17555.054717934796,-93.37911518843107,1.2816438444355684,2.7966269493091835,-0.0023728226265003352,0,0
24,793599669.1852885,2025-02-23 16:19:59.999997+00:00,38927.040014305225,-16145.366297037812,-94.50352324866087,1.1787908552031716,2.8415011013912213,-0.002124297023405759,0,0
25,793600169.1852885,2025-02-23 16:28:19.999997+00:00,39490.39252334451,-14714.184229584938,-95.5029271325821,1.074369340378303,2.8825919931136017,-0.001872861298354014,0,0
26,793600669.1852885,2025-02-23 16:36:39.999997+00:00,40001.17111704802,-13263.414037554287,-96.37595518137209,0.9685185663616207,2.9198449073031556,-0.0016188496958226928,0,0
27,793601169.1852885,2025-02-23 16:44:59.999997+00:00,40458.696383220515,-11794.987320392896,-97.12140377433451,0.8613797044114382,2.9532102628604475,-0.0013626000476076555,0,0
28,793601669.1852885,2025-02-23 16:53:19.999997+00:00,40862.35993193198,-10310.859170159729,-97.73823900778824,0.7530956404350992,2.9826436808636023,-0.0011044533129518134,0,0
29,793602169.1852885,2025-02-23 17:01:39.999997+00:00,41211.62520480997,-8813.00555538911,-98.22559814289346,0.6438107825034121,3.008106043568962,-0.0008447531142818281,0,0
30,793602669.1852885,2025-02-23 17:09:59.999997+00:00,41506.028187576136,-7303.420677245886,-98.58279082039455,0.533670866357755,3.029563546231716,-0.0005838452692562252,0,0
31,793603169.1852885,2025-02-23 17:18:19.999997+00:00,41745.17802489103,-5784.114301579278,-98.80930004061169,0.42282275918187506,3.046987741680178,-0.00032207731982980737,0,0
32,793603669.1852885,2025-02-23 17:26:39.999997+00:00,41928.75753670808,-4257.1090705130555,-98.90478290736571,0.31141426191238947,3.0603555775879716,-5.979805903928861e-05,0,0
33,793604169.1852885,2025-02-23 17:34:59.999997+00:00,42056.52363547484,-2724.4377972347374,-98.86907113487267,0.19959391036354945,3.06964942639902,0.00020264294378626626,0,0
34,793604669.1852885,2025-02-23 17:43:19.999996+00:00,42128.30764365786,-1188.1407476665013,-98.7021713169959,0.08751077544295663,3.0748571078708764,0.0004648958186891477,0,0
35,793605169.1852885,2025-02-23 17:51:39.999996+00:00,42144.015511205886,349.73708728497195,-98.40426495859316,-0.024685737264373342,3.075971904212597,0.0007266108709235105,0,0
36,793605669.1852885,2025-02-23 17:59:59.999996+00:00,42103.627932705036,1887.1487251932656,-97.97570826904365,-0.13684608826593037,3.0729925678039973,0.0009874390562801699,0,0
37,793606169.1852885,2025-02-23 18:08:19.999996+00:00,42007.200364118406,3422.047927581216,-97.41703171838476,-0.24882080500807457,3.065923321493731,0.0012470324552089703,0,0
38,793606669.1852885,2025-02-23 18:16:39.999996+00:00,41854.86293914103,4952.391933685094,-96.7289393568301,-0.36046068252186697,3.054773851484204,0.0015050447450588235,0,0
39,793607169.1852885,2025-02-23 18:24:59.999996+00:00,41646.82028533963,6476.1441888115905,-95.91230789877821,-0.47161698359234655,3.039559292821828,0.0017611316697631997,0,0
40,793607669.1852885,2025-02-23 18:33:19.999996+00:00,41383.35124038412,7991.277063597073,-94.96818557275576,-0.5821416381766003,3.020300207521526,0.002014951506307389,0,0
41,793608169.1852885,2025-02-23 18:41:39.999996+00:00,41064.80846881477,9495.774560495618,-93.89779073906807,-0.6918874417977413,2.997022555364733,0.0022661655273232178,0,0
42,793608669.1852885,2025-02-23 18:49:59.999996+00:00,40691.61797992482,10987.63500384451,-92.70251027725496,-0.8007082526440604,2.9697576574203293,0.0025144384591669873,0,0
43,793609169.1852885,2025-02-23 18:58:19.999996+00:00,40264.27854747322,12464.873709883128,-91.38389774576889,-0.9084591871051622,2.938542152348027,0.0027594389348472373,0,0
44,793609669.1852885,2025-02-23 19:06:39.999995+00:00,39783.361032075365,13925.525633133404,-89.94367131660674,-1.0149968134798084,2.9034179455536715,0.003000839941180438,0,0
45,793610169.1852885,2025-02-23 19:14:59.999995+00:00,39249.5076072516,15367.647985587226,-88.38371148793388,-1.1201793435934748,2.864432151275694,0.0032383192595648613,0,0
46,793610669.1852885,2025-02-23 19:23:19.999995+00:00,38663.43089024348,16789.322825188163,-86.70605857804156,-1.2238668220672722,2.8216370276915734,0.003471559899775661,0,0
47,793611169.1852885,2025-02-23 19:31:39.999995+00:00,38025.91297883577,18188.659610141705,-84.91291000427326,-1.325921312983869,2.775089905142591,0.003700250526197554,0,0
48,793611669.1852885,2025-02-23 19:39:59.999995+00:00,37337.804395548446,19563.797715639666,-83.00661735084422,-1.4262070837003875,2.724853107584406,0.003924085875925412,0,0
49,793612169.1852885,2025-02-23 19:48:19.999995+00:00,36600.02294068671,20912.908909640435,-80.98968322975985,-1.524590785562903,2.67099386738001,0.0041427671681775685,0,0
50,793612669.1852885,2025-02-23 19:56:39.999995+00:00,35813.55245585853,22234.19978440723,-78.86475793931197,-1.6209416312821527,2.613584233560446,0.004356002504481614,0,0
51,793613169.1852885,2025-02-23 20:04:59.999995+00:00,34979.44149968817,23525.914140571393,-76.63463592489887,-1.7151315687353506,2.552700973687245,0.004563507259107961,0,0
