Step,Time,X,Y,Z,Vx,Vy,Vz,Eclipse_status_Earth,Eclipse_status_Moon
0,0.0,-1400.573998391479,4709.959540148329,4886.673061009447,-6.457132123344553,-4.477550527082351,2.464947074422188,0,0
1,50.0,-1720.7989200748245,4478.001473282077,5001.304461523482,-6.348235648072596,-4.798116508669437,2.119027258757098,0,0
2,100.0,-2035.0299231624274,4230.427552514422,5098.454143899091,-6.217236762722095,-5.101881476872505,1.7657849949486482,0,0
3,150.0,-2342.1655255761575,3968.1102260844145,5177.784279610452,-6.064618899465212,-5.387761816256205,1.4064982825145567,0,0
4,200.0,-2641.142035617053,3691.9681355407993,5239.027300184938,-5.890943604867749,-5.65475528651005,1.04245501563308,0,0
5,250.0,-2930.921627075952,3402.9681605605683,5281.976514216285,-5.696848240014859,-5.901925168543132,0.674960277015823,0,0
6,300.0,-3210.50074209364,3102.123133176029,5306.492052561164,-5.483046575892458,-6.128413778791951,0.3053304034183711,0,0
7,350.0,-3478.9134147454424,2790.486965847075,5312.500200263198,-5.250323604217403,-6.3334417467449295,-0.06511441586811534,0,0
8,400.0,-3735.2330396791344,2469.14977745685,5299.99118703902,-4.999530842256316,-6.516307066392265,-0.4350534195899622,0,0
9,450.0,-3978.5805850770043,2139.236127408075,5269.025435426433,-4.731585673978537,-6.676399775215412,-0.8031715061960437,0,0
10,500.0,-4208.122167318215,1801.8982066365027,5219.7262017902285,-4.447468110812129,-6.813191135947933,-1.168166343163478,0,0
11,550.0,-4423.075022373734,1458.3127065116055,5152.282232717394,-4.1482125587412275,-6.926237697743081,-1.5287489598247732,0,0
12,600.0,-4622.709252365415,1109.675926693027,5066.945918237161,-3.8349057663060417,-7.0151911816908115,-1.8836532619374957,0,0
13,650.0,-4806.350332268131,757.1994862180169,4964.032242043489,-3.50868008229942,-7.079787595390073,-2.231637517388992,0,0
14,700.0,-4973.381625861534,402.1058446253441,4843.917653723802,-3.1707128782388216,-7.119855820953697,-2.571489771436927,0,0
15,750.0,-5123.246318826934,45.62376135216915,4707.0382838810765,-2.8222199902732137,-7.135315132411604,-2.9020341196093087,0,0
16,800.0,-5255.449060898872,-311.0158176768042,4553.888289364093,-2.4644457619542623,-7.126170844415238,-3.2221320859077167,0,0
17,850.0,-5369.5580330457005,-666.584906936655,4385.01795787415,-2.0986631475111137,-7.092517584541746,-3.5306871057704523,0,0
18,900.0,-5465.206060285612,-1019.8625454026485,4201.031337227449,-1.7261737419152614,-7.034541011335627,-3.8266545433510153,0,0
19,950.0,-5542.089085905124,-1369.6386518130341,4002.582054461385,-1.3482901452479483,-6.952505696145997,-4.109024179198835,0,0
20,1000.0,-5599.970191190973,-1714.718828806289,3790.372942586581,-0.9663432925987617,-6.846771442411623,-4.376872979432766,0,0
21,1050.0,-5638.679886534434,-2053.928610387382,3565.153209311247,-0.5816667575887141,-6.717771760988699,-4.629301146819921,0,0
22,1100.0,-5658.115611566216,-2386.1176652398517,3327.7146882684638,-0.19559504407028433,-6.56602692482518,-4.865494488506809,0,0
23,1150.0,-5658.24061075912,-2710.1630000774994,3078.8885509344163,0.19053529570516622,-6.392128316897517,-5.084678782434601,0,0
24,1200.0,-5639.084552543896,-3024.9729902664167,2819.542738993647,0.5753971335316531,-6.196743653798308,-5.286153059248231,0,0
25,1250.0,-5600.7450137522665,-3329.4921889718244,2550.579487103904,0.9576756086975121,-5.980613761527786,-5.469284295373044,0,0
26,1300.0,-5543.3836947754735,-3622.7032851438876,2272.93039847119,1.3360731021593577,-5.744545729160266,-5.6335055036765915,0,0
27,1350.0,-5467.226583891769,-3903.630893227354,1987.553581805067,1.7093126239021332,-5.489410123046811,-5.778319076534996,0,0
28,1400.0,-5372.562835308786,-4171.344501700129,1695.4307524286617,2.076147844961809,-5.216128299007585,-5.903278650437118,0,0
29,1450.0,-5259.742182221811,-4424.960493342845,1397.5633068490927,2.4353569136692355,-4.925694902020403,-6.008039165700386,0,0
30,1500.0,-5129.177490406012,-4663.648584331435,1094.968930683634,2.7857535119860306,-4.619152411798534,-6.092320725243238,0,0
